Notes,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Skin of other and unspecified parts of face - Malignant neoplasms,C44.3,85+ years,85+,123,6287161,2
,Skin of scalp and neck - Malignant neoplasms,C44.4,25-34 years,25-34,4,44137202,Unreliable
,Skin of scalp and neck - Malignant neoplasms,C44.4,35-44 years,35-44,18,40589783,Unreliable
,Skin of scalp and neck - Malignant neoplasms,C44.4,45-54 years,45-54,138,43188161,0.3
,Skin of scalp and neck - Malignant neoplasms,C44.4,55-64 years,55-64,288,40877819,0.7
,Skin of scalp and neck - Malignant neoplasms,C44.4,65-74 years,65-74,319,27550517,1.2
,Skin of scalp and neck - Malignant neoplasms,C44.4,75-84 years,75-84,291,13923174,2.1
,Skin of scalp and neck - Malignant neoplasms,C44.4,85+ years,85+,272,6287161,4.3
,Skin of trunk - Malignant neoplasms,C44.5,45-54 years,45-54,8,43188161,Unreliable
,Skin of trunk - Malignant neoplasms,C44.5,55-64 years,55-64,11,40877819,Unreliable
,Skin of trunk - Malignant neoplasms,C44.5,65-74 years,65-74,12,27550517,Unreliable
,Skin of trunk - Malignant neoplasms,C44.5,75-84 years,75-84,9,13923174,Unreliable
,Skin of trunk - Malignant neoplasms,C44.5,85+ years,85+,21,6287161,0.3
,"Skin of upper limb, including shoulder - Malignant neoplasms",C44.6,45-54 years,45-54,1,43188161,Unreliable
,"Skin of upper limb, including shoulder - Malignant neoplasms",C44.6,55-64 years,55-64,5,40877819,Unreliable
,"Skin of upper limb, including shoulder - Malignant neoplasms",C44.6,65-74 years,65-74,8,27550517,Unreliable
,"Skin of upper limb, including shoulder - Malignant neoplasms",C44.6,75-84 years,75-84,10,13923174,Unreliable
,"Skin of upper limb, including shoulder - Malignant neoplasms",C44.6,85+ years,85+,15,6287161,Unreliable
,"Skin of lower limb, including hip - Malignant neoplasms",C44.7,45-54 years,45-54,4,43188161,Unreliable
,"Skin of lower limb, including hip - Malignant neoplasms",C44.7,55-64 years,55-64,3,40877819,Unreliable
,"Skin of lower limb, including hip - Malignant neoplasms",C44.7,65-74 years,65-74,13,27550517,Unreliable
,"Skin of lower limb, including hip - Malignant neoplasms",C44.7,75-84 years,75-84,16,13923174,Unreliable
,"Skin of lower limb, including hip - Malignant neoplasms",C44.7,85+ years,85+,20,6287161,0.3
,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,15-24 years,15-24,1,43848216,Unreliable
,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,25-34 years,25-34,2,44137202,Unreliable
,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,35-44 years,35-44,15,40589783,Unreliable
,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,45-54 years,45-54,84,43188161,0.2
,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,55-64 years,55-64,246,40877819,0.6
,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,65-74 years,65-74,458,27550517,1.7
,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,75-84 years,75-84,520,13923174,3.7
,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,85+ years,85+,665,6287161,10.6
,Mesothelioma of pleura - Malignant neoplasms,C45.0,35-44 years,35-44,2,40589783,Unreliable
,Mesothelioma of pleura - Malignant neoplasms,C45.0,45-54 years,45-54,9,43188161,Unreliable
,Mesothelioma of pleura - Malignant neoplasms,C45.0,55-64 years,55-64,14,40877819,Unreliable
,Mesothelioma of pleura - Malignant neoplasms,C45.0,65-74 years,65-74,56,27550517,0.2
,Mesothelioma of pleura - Malignant neoplasms,C45.0,75-84 years,75-84,62,13923174,0.4
,Mesothelioma of pleura - Malignant neoplasms,C45.0,85+ years,85+,33,6287161,0.5
,Mesothelioma of peritoneum - Malignant neoplasms,C45.1,35-44 years,35-44,11,40589783,Unreliable
,Mesothelioma of peritoneum - Malignant neoplasms,C45.1,45-54 years,45-54,19,43188161,Unreliable
,Mesothelioma of peritoneum - Malignant neoplasms,C45.1,55-64 years,55-64,28,40877819,0.1
,Mesothelioma of peritoneum - Malignant neoplasms,C45.1,65-74 years,65-74,36,27550517,0.1
,Mesothelioma of peritoneum - Malignant neoplasms,C45.1,75-84 years,75-84,23,13923174,0.2
,Mesothelioma of peritoneum - Malignant neoplasms,C45.1,85+ years,85+,11,6287161,Unreliable
,Mesothelioma of pericardium - Malignant neoplasms,C45.2,65-74 years,65-74,2,27550517,Unreliable
,Mesothelioma of pericardium - Malignant neoplasms,C45.2,75-84 years,75-84,2,13923174,Unreliable
,Mesothelioma of other sites - Malignant neoplasms,C45.7,25-34 years,25-34,1,44137202,Unreliable
,Mesothelioma of other sites - Malignant neoplasms,C45.7,45-54 years,45-54,5,43188161,Unreliable
,Mesothelioma of other sites - Malignant neoplasms,C45.7,55-64 years,55-64,22,40877819,0.1
,Mesothelioma of other sites - Malignant neoplasms,C45.7,65-74 years,65-74,60,27550517,0.2
,Mesothelioma of other sites - Malignant neoplasms,C45.7,75-84 years,75-84,87,13923174,0.6
,Mesothelioma of other sites - Malignant neoplasms,C45.7,85+ years,85+,44,6287161,0.7
,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,15-24 years,15-24,1,43848216,Unreliable
,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,25-34 years,25-34,5,44137202,Unreliable
,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,35-44 years,35-44,14,40589783,Unreliable
,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,45-54 years,45-54,48,43188161,0.1
,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,55-64 years,55-64,191,40877819,0.5
,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,65-74 years,65-74,547,27550517,2
,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,75-84 years,75-84,686,13923174,4.9
,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,85+ years,85+,385,6287161,6.1
,Kaposi's sarcoma of other sites - Malignant neoplasms,C46.7,55-64 years,55-64,2,40877819,Unreliable
,Kaposi's sarcoma of other sites - Malignant neoplasms,C46.7,65-74 years,65-74,3,27550517,Unreliable
,Kaposi's sarcoma of other sites - Malignant neoplasms,C46.7,75-84 years,75-84,3,13923174,Unreliable
,Kaposi's sarcoma of other sites - Malignant neoplasms,C46.7,85+ years,85+,1,6287161,Unreliable
,"Kaposi's sarcoma, unspecified - Malignant neoplasms",C46.9,15-24 years,15-24,1,43848216,Unreliable
,"Kaposi's sarcoma, unspecified - Malignant neoplasms",C46.9,25-34 years,25-34,3,44137202,Unreliable
,"Kaposi's sarcoma, unspecified - Malignant neoplasms",C46.9,35-44 years,35-44,4,40589783,Unreliable
,"Kaposi's sarcoma, unspecified - Malignant neoplasms",C46.9,45-54 years,45-54,2,43188161,Unreliable
,"Kaposi's sarcoma, unspecified - Malignant neoplasms",C46.9,55-64 years,55-64,4,40877819,Unreliable
,"Kaposi's sarcoma, unspecified - Malignant neoplasms",C46.9,65-74 years,65-74,3,27550517,Unreliable
,"Kaposi's sarcoma, unspecified - Malignant neoplasms",C46.9,75-84 years,75-84,7,13923174,Unreliable
,"Kaposi's sarcoma, unspecified - Malignant neoplasms",C46.9,85+ years,85+,17,6287161,Unreliable
,"Peripheral nerves of head, face and neck - Malignant neoplasms",C47.0,35-44 years,35-44,1,40589783,Unreliable
,"Peripheral nerves of upper limb, including shoulder - Malignant neoplasms",C47.1,25-34 years,25-34,1,44137202,Unreliable
,"Peripheral nerves of lower limb, including hip - Malignant neoplasms",C47.2,65-74 years,65-74,1,27550517,Unreliable
,Peripheral nerves of thorax - Malignant neoplasms,C47.3,65-74 years,65-74,1,27550517,Unreliable
,Peripheral nerves of thorax - Malignant neoplasms,C47.3,75-84 years,75-84,1,13923174,Unreliable
,Peripheral nerves of thorax - Malignant neoplasms,C47.3,85+ years,85+,1,6287161,Unreliable
,Peripheral nerves of abdomen - Malignant neoplasms,C47.4,65-74 years,65-74,1,27550517,Unreliable
,"Peripheral nerves of trunk, unspecified - Malignant neoplasms",C47.6,55-64 years,55-64,1,40877819,Unreliable
,"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms",C47.9,5-14 years,5-14,5,41109506,Unreliable
,"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms",C47.9,15-24 years,15-24,13,43848216,Unreliable
,"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms",C47.9,25-34 years,25-34,12,44137202,Unreliable
,"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms",C47.9,35-44 years,35-44,14,40589783,Unreliable
,"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms",C47.9,45-54 years,45-54,6,43188161,Unreliable
,"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms",C47.9,55-64 years,55-64,16,40877819,Unreliable
,"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms",C47.9,65-74 years,65-74,4,27550517,Unreliable
,"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms",C47.9,75-84 years,75-84,4,13923174,Unreliable
,"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms",C47.9,85+ years,85+,4,6287161,Unreliable
,Retroperitoneum - Malignant neoplasms,C48.0,1-4 years,1-4,1,15929243,Unreliable
,Retroperitoneum - Malignant neoplasms,C48.0,25-34 years,25-34,3,44137202,Unreliable
,Retroperitoneum - Malignant neoplasms,C48.0,35-44 years,35-44,6,40589783,Unreliable
,Retroperitoneum - Malignant neoplasms,C48.0,45-54 years,45-54,23,43188161,0.1
,Retroperitoneum - Malignant neoplasms,C48.0,55-64 years,55-64,44,40877819,0.1
,Retroperitoneum - Malignant neoplasms,C48.0,65-74 years,65-74,66,27550517,0.2
,Retroperitoneum - Malignant neoplasms,C48.0,75-84 years,75-84,58,13923174,0.4
,Retroperitoneum - Malignant neoplasms,C48.0,85+ years,85+,37,6287161,0.6
,Specified parts of peritoneum - Malignant neoplasms,C48.1,35-44 years,35-44,1,40589783,Unreliable
,Specified parts of peritoneum - Malignant neoplasms,C48.1,45-54 years,45-54,5,43188161,Unreliable
,Specified parts of peritoneum - Malignant neoplasms,C48.1,55-64 years,55-64,6,40877819,Unreliable
,Specified parts of peritoneum - Malignant neoplasms,C48.1,65-74 years,65-74,14,27550517,Unreliable
,Specified parts of peritoneum - Malignant neoplasms,C48.1,75-84 years,75-84,10,13923174,Unreliable
,Specified parts of peritoneum - Malignant neoplasms,C48.1,85+ years,85+,10,6287161,Unreliable
,"Peritoneum, unspecified - Malignant neoplasms",C48.2,5-14 years,5-14,1,41109506,Unreliable
,"Peritoneum, unspecified - Malignant neoplasms",C48.2,25-34 years,25-34,1,44137202,Unreliable
,"Peritoneum, unspecified - Malignant neoplasms",C48.2,35-44 years,35-44,3,40589783,Unreliable
,"Peritoneum, unspecified - Malignant neoplasms",C48.2,45-54 years,45-54,41,43188161,0.1
,"Peritoneum, unspecified - Malignant neoplasms",C48.2,55-64 years,55-64,118,40877819,0.3
,"Peritoneum, unspecified - Malignant neoplasms",C48.2,65-74 years,65-74,234,27550517,0.8
,"Peritoneum, unspecified - Malignant neoplasms",C48.2,75-84 years,75-84,220,13923174,1.6
,"Peritoneum, unspecified - Malignant neoplasms",C48.2,85+ years,85+,136,6287161,2.2
,"Connective and soft tissue of head, face and neck - Malignant neoplasms",C49.0,1-4 years,1-4,1,15929243,Unreliable
,"Connective and soft tissue of head, face and neck - Malignant neoplasms",C49.0,5-14 years,5-14,2,41109506,Unreliable
,"Connective and soft tissue of head, face and neck - Malignant neoplasms",C49.0,15-24 years,15-24,2,43848216,Unreliable
,"Connective and soft tissue of head, face and neck - Malignant neoplasms",C49.0,25-34 years,25-34,3,44137202,Unreliable
,"Connective and soft tissue of head, face and neck - Malignant neoplasms",C49.0,35-44 years,35-44,4,40589783,Unreliable
,"Connective and soft tissue of head, face and neck - Malignant neoplasms",C49.0,45-54 years,45-54,6,43188161,Unreliable
,"Connective and soft tissue of head, face and neck - Malignant neoplasms",C49.0,55-64 years,55-64,16,40877819,Unreliable
,"Connective and soft tissue of head, face and neck - Malignant neoplasms",C49.0,65-74 years,65-74,27,27550517,0.1
,"Connective and soft tissue of head, face and neck - Malignant neoplasms",C49.0,75-84 years,75-84,43,13923174,0.3
,"Connective and soft tissue of head, face and neck - Malignant neoplasms",C49.0,85+ years,85+,40,6287161,0.6
,"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms",C49.1,5-14 years,5-14,1,41109506,Unreliable
,"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms",C49.1,15-24 years,15-24,1,43848216,Unreliable
,"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms",C49.1,25-34 years,25-34,2,44137202,Unreliable
,"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms",C49.1,35-44 years,35-44,1,40589783,Unreliable
,"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms",C49.1,45-54 years,45-54,3,43188161,Unreliable
,"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms",C49.1,55-64 years,55-64,11,40877819,Unreliable
,"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms",C49.1,65-74 years,65-74,12,27550517,Unreliable
,"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms",C49.1,75-84 years,75-84,12,13923174,Unreliable
,"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms",C49.1,85+ years,85+,10,6287161,Unreliable
,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,1-4 years,1-4,1,15929243,Unreliable
,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,5-14 years,5-14,2,41109506,Unreliable
,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,15-24 years,15-24,5,43848216,Unreliable
,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,25-34 years,25-34,9,44137202,Unreliable
,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,35-44 years,35-44,11,40589783,Unreliable
,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,45-54 years,45-54,16,43188161,Unreliable
,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,55-64 years,55-64,39,40877819,0.1
,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,65-74 years,65-74,63,27550517,0.2
,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,75-84 years,75-84,61,13923174,0.4
,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,85+ years,85+,63,6287161,1
,Connective and soft tissue of thorax - Malignant neoplasms,C49.3,5-14 years,5-14,1,41109506,Unreliable
,Connective and soft tissue of thorax - Malignant neoplasms,C49.3,25-34 years,25-34,2,44137202,Unreliable
,Connective and soft tissue of thorax - Malignant neoplasms,C49.3,35-44 years,35-44,3,40589783,Unreliable
,Connective and soft tissue of thorax - Malignant neoplasms,C49.3,45-54 years,45-54,8,43188161,Unreliable
,Connective and soft tissue of thorax - Malignant neoplasms,C49.3,55-64 years,55-64,8,40877819,Unreliable
,Connective and soft tissue of thorax - Malignant neoplasms,C49.3,65-74 years,65-74,15,27550517,Unreliable
,Connective and soft tissue of thorax - Malignant neoplasms,C49.3,75-84 years,75-84,25,13923174,0.2
,Connective and soft tissue of thorax - Malignant neoplasms,C49.3,85+ years,85+,14,6287161,Unreliable
,Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,25-34 years,25-34,10,44137202,Unreliable
,Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,35-44 years,35-44,14,40589783,Unreliable
,Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,45-54 years,45-54,35,43188161,0.1
,Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,55-64 years,55-64,80,40877819,0.2
,Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,65-74 years,65-74,103,27550517,0.4
,Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,75-84 years,75-84,85,13923174,0.6
,Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,85+ years,85+,48,6287161,0.8
,Connective and soft tissue of pelvis - Malignant neoplasms,C49.5,1-4 years,1-4,2,15929243,Unreliable
,Connective and soft tissue of pelvis - Malignant neoplasms,C49.5,5-14 years,5-14,1,41109506,Unreliable
,Connective and soft tissue of pelvis - Malignant neoplasms,C49.5,15-24 years,15-24,1,43848216,Unreliable
,Connective and soft tissue of pelvis - Malignant neoplasms,C49.5,25-34 years,25-34,4,44137202,Unreliable
,Connective and soft tissue of pelvis - Malignant neoplasms,C49.5,35-44 years,35-44,4,40589783,Unreliable
,Connective and soft tissue of pelvis - Malignant neoplasms,C49.5,45-54 years,45-54,13,43188161,Unreliable
,Connective and soft tissue of pelvis - Malignant neoplasms,C49.5,55-64 years,55-64,15,40877819,Unreliable
,Connective and soft tissue of pelvis - Malignant neoplasms,C49.5,65-74 years,65-74,18,27550517,Unreliable
,Connective and soft tissue of pelvis - Malignant neoplasms,C49.5,75-84 years,75-84,21,13923174,0.2
,Connective and soft tissue of pelvis - Malignant neoplasms,C49.5,85+ years,85+,13,6287161,Unreliable
,"Connective and soft tissue of trunk, unspecified - Malignant neoplasms",C49.6,15-24 years,15-24,1,43848216,Unreliable
,"Connective and soft tissue of trunk, unspecified - Malignant neoplasms",C49.6,25-34 years,25-34,1,44137202,Unreliable
,"Connective and soft tissue of trunk, unspecified - Malignant neoplasms",C49.6,45-54 years,45-54,3,43188161,Unreliable
,"Connective and soft tissue of trunk, unspecified - Malignant neoplasms",C49.6,55-64 years,55-64,1,40877819,Unreliable
,"Connective and soft tissue of trunk, unspecified - Malignant neoplasms",C49.6,65-74 years,65-74,3,27550517,Unreliable
,"Connective and soft tissue of trunk, unspecified - Malignant neoplasms",C49.6,75-84 years,75-84,4,13923174,Unreliable
,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,< 1 year,1,1,3978038,Unreliable
,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,1-4 years,1-4,24,15929243,0.2
,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,5-14 years,5-14,63,41109506,0.2
,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,15-24 years,15-24,97,43848216,0.2
,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,25-34 years,25-34,139,44137202,0.3
,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,35-44 years,35-44,216,40589783,0.5
,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,45-54 years,45-54,445,43188161,1
,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,55-64 years,55-64,734,40877819,1.8
,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,65-74 years,65-74,811,27550517,2.9
,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,75-84 years,75-84,701,13923174,5
,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,85+ years,85+,380,6287161,6
,Nipple and areola - Malignant neoplasms,C50.0,45-54 years,45-54,1,43188161,Unreliable
,Nipple and areola - Malignant neoplasms,C50.0,55-64 years,55-64,3,40877819,Unreliable
,Nipple and areola - Malignant neoplasms,C50.0,65-74 years,65-74,4,27550517,Unreliable
,Nipple and areola - Malignant neoplasms,C50.0,75-84 years,75-84,2,13923174,Unreliable
,Nipple and areola - Malignant neoplasms,C50.0,85+ years,85+,5,6287161,Unreliable
,Central portion of breast - Malignant neoplasms,C50.1,55-64 years,55-64,1,40877819,Unreliable
,Central portion of breast - Malignant neoplasms,C50.1,65-74 years,65-74,1,27550517,Unreliable
,Upper-inner quadrant of breast - Malignant neoplasms,C50.2,25-34 years,25-34,1,44137202,Unreliable
,Upper-outer quadrant of breast - Malignant neoplasms,C50.4,35-44 years,35-44,1,40589783,Unreliable
,Upper-outer quadrant of breast - Malignant neoplasms,C50.4,75-84 years,75-84,1,13923174,Unreliable
,Lower-outer quadrant of breast - Malignant neoplasms,C50.5,85+ years,85+,1,6287161,Unreliable
,Axillary tail of breast - Malignant neoplasms,C50.6,85+ years,85+,2,6287161,Unreliable
,Overlapping lesion of breast - Malignant neoplasms,C50.8,65-74 years,65-74,1,27550517,Unreliable
,"Breast, unspecified - Malignant neoplasms",C50.9,15-24 years,15-24,9,43848216,Unreliable
,"Breast, unspecified - Malignant neoplasms",C50.9,25-34 years,25-34,389,44137202,0.9
,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,1841,40589783,4.5
,"Breast, unspecified - Malignant neoplasms",C50.9,45-54 years,45-54,5219,43188161,12.1
,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,9251,40877819,22.6
,"Breast, unspecified - Malignant neoplasms",C50.9,65-74 years,65-74,9925,27550517,36
,"Breast, unspecified - Malignant neoplasms",C50.9,75-84 years,75-84,8153,13923174,58.6
,"Breast, unspecified - Malignant neoplasms",C50.9,85+ years,85+,7175,6287161,114.1
,"Breast, unspecified - Malignant neoplasms",C50.9,Not Stated,NS,1,Not Applicable,Not Applicable
,Labium majus - Malignant neoplasms,C51.0,45-54 years,45-54,1,43188161,Unreliable
,Labium majus - Malignant neoplasms,C51.0,55-64 years,55-64,4,40877819,Unreliable
,Labium majus - Malignant neoplasms,C51.0,65-74 years,65-74,2,27550517,Unreliable
,Labium majus - Malignant neoplasms,C51.0,75-84 years,75-84,3,13923174,Unreliable
,Labium majus - Malignant neoplasms,C51.0,85+ years,85+,2,6287161,Unreliable
,Labium minus - Malignant neoplasms,C51.1,85+ years,85+,1,6287161,Unreliable
,Clitoris - Malignant neoplasms,C51.2,65-74 years,65-74,1,27550517,Unreliable
,"Vulva, unspecified - Malignant neoplasms",C51.9,15-24 years,15-24,1,43848216,Unreliable
,"Vulva, unspecified - Malignant neoplasms",C51.9,25-34 years,25-34,5,44137202,Unreliable
,"Vulva, unspecified - Malignant neoplasms",C51.9,35-44 years,35-44,17,40589783,Unreliable
,"Vulva, unspecified - Malignant neoplasms",C51.9,45-54 years,45-54,64,43188161,0.1
,"Vulva, unspecified - Malignant neoplasms",C51.9,55-64 years,55-64,175,40877819,0.4
,"Vulva, unspecified - Malignant neoplasms",C51.9,65-74 years,65-74,211,27550517,0.8
,"Vulva, unspecified - Malignant neoplasms",C51.9,75-84 years,75-84,319,13923174,2.3
,"Vulva, unspecified - Malignant neoplasms",C51.9,85+ years,85+,321,6287161,5.1
,Malignant neoplasm of vagina,C52,5-14 years,5-14,1,41109506,Unreliable
,Malignant neoplasm of vagina,C52,15-24 years,15-24,1,43848216,Unreliable
,Malignant neoplasm of vagina,C52,25-34 years,25-34,2,44137202,Unreliable
,Malignant neoplasm of vagina,C52,35-44 years,35-44,11,40589783,Unreliable
,Malignant neoplasm of vagina,C52,45-54 years,45-54,33,43188161,0.1
,Malignant neoplasm of vagina,C52,55-64 years,55-64,67,40877819,0.2
,Malignant neoplasm of vagina,C52,65-74 years,65-74,107,27550517,0.4
,Malignant neoplasm of vagina,C52,75-84 years,75-84,102,13923174,0.7
,Malignant neoplasm of vagina,C52,85+ years,85+,114,6287161,1.8
,Endocervix - Malignant neoplasms,C53.0,25-34 years,25-34,2,44137202,Unreliable
,Endocervix - Malignant neoplasms,C53.0,35-44 years,35-44,10,40589783,Unreliable
,Endocervix - Malignant neoplasms,C53.0,45-54 years,45-54,9,43188161,Unreliable
,Endocervix - Malignant neoplasms,C53.0,55-64 years,55-64,15,40877819,Unreliable
,Endocervix - Malignant neoplasms,C53.0,65-74 years,65-74,10,27550517,Unreliable
,Endocervix - Malignant neoplasms,C53.0,75-84 years,75-84,7,13923174,Unreliable
,Endocervix - Malignant neoplasms,C53.0,85+ years,85+,4,6287161,Unreliable
,Exocervix - Malignant neoplasms,C53.1,45-54 years,45-54,1,43188161,Unreliable
,Exocervix - Malignant neoplasms,C53.1,85+ years,85+,1,6287161,Unreliable
,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,15-24 years,15-24,10,43848216,Unreliable
,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,25-34 years,25-34,208,44137202,0.5
,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,35-44 years,35-44,551,40589783,1.4
,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,45-54 years,45-54,896,43188161,2.1
,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,55-64 years,55-64,999,40877819,2.4
,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,65-74 years,65-74,769,27550517,2.8
,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,75-84 years,75-84,449,13923174,3.2
,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,85+ years,85+,234,6287161,3.7
,Isthmus uteri - Malignant neoplasms,C54.0,55-64 years,55-64,4,40877819,Unreliable
,Endometrium - Malignant neoplasms,C54.1,15-24 years,15-24,2,43848216,Unreliable
,Endometrium - Malignant neoplasms,C54.1,25-34 years,25-34,17,44137202,Unreliable
,Endometrium - Malignant neoplasms,C54.1,35-44 years,35-44,58,40589783,0.1
,Endometrium - Malignant neoplasms,C54.1,45-54 years,45-54,274,43188161,0.6
,Endometrium - Malignant neoplasms,C54.1,55-64 years,55-64,994,40877819,2.4
,Endometrium - Malignant neoplasms,C54.1,65-74 years,65-74,1409,27550517,5.1
,Endometrium - Malignant neoplasms,C54.1,75-84 years,75-84,986,13923174,7.1
,Endometrium - Malignant neoplasms,C54.1,85+ years,85+,483,6287161,7.7
,Myometrium - Malignant neoplasms,C54.2,65-74 years,65-74,1,27550517,Unreliable
,Fundus uteri - Malignant neoplasms,C54.3,55-64 years,55-64,1,40877819,Unreliable
,Fundus uteri - Malignant neoplasms,C54.3,65-74 years,65-74,1,27550517,Unreliable
,"Corpus uteri, unspecified - Malignant neoplasms",C54.9,15-24 years,15-24,1,43848216,Unreliable
,"Corpus uteri, unspecified - Malignant neoplasms",C54.9,25-34 years,25-34,1,44137202,Unreliable
,"Corpus uteri, unspecified - Malignant neoplasms",C54.9,35-44 years,35-44,1,40589783,Unreliable
,"Corpus uteri, unspecified - Malignant neoplasms",C54.9,45-54 years,45-54,13,43188161,Unreliable
,"Corpus uteri, unspecified - Malignant neoplasms",C54.9,55-64 years,55-64,27,40877819,0.1
,"Corpus uteri, unspecified - Malignant neoplasms",C54.9,65-74 years,65-74,42,27550517,0.2
,"Corpus uteri, unspecified - Malignant neoplasms",C54.9,75-84 years,75-84,27,13923174,0.2
,"Corpus uteri, unspecified - Malignant neoplasms",C54.9,85+ years,85+,8,6287161,Unreliable
,"Malignant neoplasm of uterus, part unspecified",C55,15-24 years,15-24,1,43848216,Unreliable
,"Malignant neoplasm of uterus, part unspecified",C55,25-34 years,25-34,27,44137202,0.1
,"Malignant neoplasm of uterus, part unspecified",C55,35-44 years,35-44,110,40589783,0.3
,"Malignant neoplasm of uterus, part unspecified",C55,45-54 years,45-54,442,43188161,1
,"Malignant neoplasm of uterus, part unspecified",C55,55-64 years,55-64,1340,40877819,3.3
,"Malignant neoplasm of uterus, part unspecified",C55,65-74 years,65-74,1754,27550517,6.4
,"Malignant neoplasm of uterus, part unspecified",C55,75-84 years,75-84,1236,13923174,8.9
,"Malignant neoplasm of uterus, part unspecified",C55,85+ years,85+,836,6287161,13.3
,Malignant neoplasm of ovary,C56,5-14 years,5-14,4,41109506,Unreliable
,Malignant neoplasm of ovary,C56,15-24 years,15-24,29,43848216,0.1
,Malignant neoplasm of ovary,C56,25-34 years,25-34,89,44137202,0.2
,Malignant neoplasm of ovary,C56,35-44 years,35-44,302,40589783,0.7
,Malignant neoplasm of ovary,C56,45-54 years,45-54,1272,43188161,2.9
,Malignant neoplasm of ovary,C56,55-64 years,55-64,2959,40877819,7.2
